date,commodity,close,daily_return,return_5d,return_21d,volatility_5d_ann,volatility_21d_ann,sma_21,bollinger_z,rsi_14,macd,macd_signal,momentum_10d,term_spread
2014-01-02,Steel_HRC,598.4254,,,,,,,,,0.0,0.0,,1.6707
2014-01-03,Steel_HRC,574.4014,-0.041,,,,,,,,-0.539,-0.2994,,-6.6343
2014-01-06,Steel_HRC,576.0968,0.0029,,,,,,,,-0.6342,-0.4366,,-2.787
2014-01-07,Steel_HRC,579.164,0.0053,,,,,,,,-0.5512,-0.4755,,2.7471
2014-01-08,Steel_HRC,575.7011,-0.006,,,,,,,,-0.6323,-0.5221,,3.6862
2014-01-09,Steel_HRC,581.0167,0.0092,-0.0295,,0.3236,,,,,-0.4419,-0.5004,,-4.7791
2014-01-10,Steel_HRC,586.7747,0.0099,0.0213,,0.1016,,,,,-0.0513,-0.3867,,2.4659
2014-01-13,Steel_HRC,590.5704,0.0064,0.0248,,0.1017,,,,,0.3919,-0.1996,,0.913
2014-01-14,Steel_HRC,600.1359,0.0161,0.0356,,0.1291,,,,,1.1675,0.1162,,-1.3016
2014-01-15,Steel_HRC,598.4707,-0.0028,0.0388,,0.1089,,,,,1.6149,0.452,,-6.2345
2014-01-16,Steel_HRC,607.4552,0.0149,0.0445,,0.1206,,,,,2.3942,0.8769,0.0151,-11.7211
2014-01-17,Steel_HRC,628.1625,0.0335,0.0682,,0.2136,,,,,4.0704,1.5627,0.0936,10.442
2014-01-20,Steel_HRC,638.1179,0.0157,0.0774,,0.2038,,,,,5.8219,2.4641,0.1077,-4.783
2014-01-21,Steel_HRC,659.4676,0.0329,0.0943,,0.2389,,,,,8.2947,3.6839,0.1387,-5.9813
2014-01-22,Steel_HRC,663.1532,0.0056,0.1026,,0.1945,,,,76.3053,10.2724,5.0497,0.1519,-3.3906
2014-01-23,Steel_HRC,644.4547,-0.0286,0.0591,,0.405,,,,79.7576,10.5099,6.1733,0.1092,-10.6764
2014-01-24,Steel_HRC,647.2002,0.0043,0.0299,,0.3567,,,,79.9366,10.7305,7.1058,0.103,1.894
2014-01-27,Steel_HRC,648.3682,0.0018,0.0159,,0.3462,,,,79.6105,10.8414,7.8666,0.0979,-3.7974
2014-01-28,Steel_HRC,647.6496,-0.0011,-0.0181,,0.2254,,,,81.5251,10.7486,8.4514,0.0792,-5.7092
2014-01-29,Steel_HRC,629.3179,-0.0287,-0.0524,,0.2652,,,,68.9969,9.3525,8.6337,0.0515,-14.3713
2014-01-30,Steel_HRC,637.9603,0.0136,-0.0101,,0.2526,,614.8602,,69.6847,8.7335,8.6539,0.0502,6.9013
2014-01-31,Steel_HRC,642.2915,0.0068,-0.0076,0.0707,0.2571,0.2885,616.9491,,69.8091,8.4407,8.6109,0.0225,-3.2416
2014-02-03,Steel_HRC,652.7209,0.0161,0.0067,0.1278,0.2871,0.242,620.6786,,70.0075,8.8221,8.6534,0.0229,-4.2014
2014-02-04,Steel_HRC,670.8979,0.0275,0.0353,0.1523,0.3387,0.2526,625.1929,,74.4811,10.2638,8.977,0.0173,0.0827
2014-02-05,Steel_HRC,675.3428,0.0066,0.0706,0.1536,0.1358,0.2526,629.7729,,73.6732,11.5732,9.4982,0.0184,5.6045
2014-02-06,Steel_HRC,686.6194,0.0166,0.0735,0.1762,0.1368,0.2497,635.0547,,71.8197,13.2487,10.2506,0.0654,4.0132
2014-02-07,Steel_HRC,684.6936,-0.0028,0.0639,0.1642,0.1814,0.2526,639.9917,,68.4934,14.2628,11.055,0.0579,-4.7761
2014-02-10,Steel_HRC,664.0865,-0.0306,0.0173,0.1238,0.3509,0.2852,643.6732,,51.8449,13.4138,11.5276,0.0242,-9.3391
2014-02-11,Steel_HRC,670.3262,0.0094,-0.0009,0.1267,0.2913,0.2854,647.4711,,52.8077,13.0451,11.8316,0.035,-3.0023
2014-02-12,Steel_HRC,675.5366,0.0077,0.0003,0.1184,0.2931,0.2832,651.0616,,63.6028,12.9844,12.0625,0.0734,-4.9218
2014-02-13,Steel_HRC,676.1044,0.0008,-0.0154,0.122,0.2562,0.2821,654.7584,,62.8955,12.8281,12.2157,0.0598,0.7557
2014-02-14,Steel_HRC,687.2761,0.0164,0.0038,0.1235,0.2914,0.2828,658.5594,,65.9362,13.3798,12.4487,0.07,9.569
2014-02-17,Steel_HRC,695.5232,0.0119,0.0463,0.1019,0.0909,0.2656,661.7671,,68.4694,14.2673,12.8127,0.0656,2.5695
2014-02-18,Steel_HRC,676.9919,-0.027,0.0099,0.0591,0.2728,0.2841,663.6182,,68.3641,13.4166,12.9335,0.0091,-7.2454
2014-02-19,Steel_HRC,665.5064,-0.0171,-0.015,0.0091,0.2958,0.2698,663.9058,,60.3834,11.7371,12.6941,-0.0146,-4.3303
2014-02-20,Steel_HRC,663.0089,-0.0038,-0.0196,-0.0002,0.2938,0.2695,663.8989,,57.9188,10.1004,12.1752,-0.0344,8.7347
2014-02-21,Steel_HRC,675.5903,0.0188,-0.0171,0.0472,0.3046,0.2558,665.3816,,58.5999,9.654,11.6708,-0.0133,4.4363
2014-02-24,Steel_HRC,690.3755,0.0216,-0.0074,0.0646,0.3411,0.2645,667.4375,,57.5161,10.315,11.3996,0.0396,1.0098
2014-02-25,Steel_HRC,699.3539,0.0129,0.0325,0.0757,0.2614,0.2666,669.8654,,58.9523,11.3973,11.3992,0.0433,5.8902
2014-02-26,Steel_HRC,688.956,-0.015,0.0346,0.0618,0.2494,0.274,671.8324,,50.8769,11.3193,11.3832,0.0199,-4.669
