material_id,formula,category,crystal_system,MQI,bulk_modulus_GPa,shear_modulus_GPa,density_g_cm3,melting_point_K,band_gap_eV,formation_energy_per_atom_eV
mp-121959,Ta3Au3H2,Chalcogenide,hexagonal,15.182432866063648,26.87,13.47,4.343,1142.0,1.94,-0.6329
mp-23248,Al3Rh4W3,Alloy,hexagonal,17.800269346748188,50.3,33.94,6.757,1244.0,0.0,-1.2275
mp-526982,Pd3Te3,Metal,cubic,28.193646961321747,256.03,125.93,10.501,1178.0,0.0,0.1265
mp-984775,Ne4Cd4,Nitride,tetragonal,40.00070841924238,461.87,233.17,1.754,1130.0,1.83,-0.4655
mp-965909,Al4Rh,Nitride,cubic,22.8952842825578,187.79,148.0,3.36,306.0,1.264,-0.6142
mp-55610,SbCu2Re2,Ceramic,trigonal,29.432636915354653,89.35,42.88,2.55,2136.0,2.669,-3.2233
mp-547578,Fe4Ba2ScC3,Silicate,tetragonal,35.04152888443829,113.02,46.53,4.042,1362.0,7.747,-3.4612
mp-720256,Y3Ge2,Ceramic,triclinic,41.763283948505325,291.31,132.2,5.304,1930.0,1.27,-3.889
mp-755196,W3In,Carbide,cubic,44.33734009644848,389.79,260.14,4.562,2371.0,0.979,-0.5275
mp-665221,La3Sn4Cu2Nb3,Boride,tetragonal,24.74149803648919,290.24,163.27,3.994,200.0,0.784,0.1697
mp-211792,Y3Sb3,Halide,monoclinic,19.350199335522245,15.74,7.31,1.155,877.0,2.611,-3.3535
mp-572204,Bi4Pb2,Oxide,cubic,28.099848005614746,66.07,33.98,3.144,2167.0,0.5,-4.1159
mp-509931,In3Pd3Nb,Semiconductor,cubic,24.137642546008024,89.68,64.02,2.47,2053.0,1.544,-1.3977
mp-656283,NAg2Li3,Phosphide,orthorhombic,21.009195648201953,96.75,52.74,1.801,1899.0,0.257,-1.3019
mp-57546,B3Ne3V4,Metal,cubic,25.499812520215407,195.3,103.35,11.778,200.0,0.0,-1.4629
mp-686841,Nb4OsSr2,Carbide,cubic,37.505088516192,409.66,160.48,2.889,2089.0,0.191,-0.6808
mp-518272,Ag,Ceramic,orthorhombic,34.227144534016745,140.63,61.11,5.433,1415.0,6.769,-2.5525
mp-319279,Al,Alloy,orthorhombic,27.356404257852763,177.24,137.37,9.997,1528.0,0.0,0.0
mp-324061,Ti,Perovskite,tetragonal,21.827385058285454,33.06,13.54,5.015,1012.0,0.44,-4.0201
mp-34702,Ga3CoSi2,Metal,hexagonal,19.10080231862368,107.49,47.92,8.701,1351.0,0.0,-0.0497
mp-128233,BZrMo3,Nitride,tetragonal,35.32142403485055,262.21,186.5,7.083,1649.0,2.966,0.0975
mp-937487,SeZrBi4,Ceramic,trigonal,32.980422393176916,164.53,84.99,1.437,1699.0,7.193,-1.3959
mp-678759,Mn3Au4,Oxide,cubic,42.503419887090814,156.44,71.41,5.254,2637.0,4.075,-4.8136
mp-885692,Bi3,Metal,cubic,26.27284215502042,144.61,112.43,5.772,2400.0,0.0,0.0
mp-213568,S2Nb,Semiconductor,monoclinic,13.4937486375093,63.92,30.99,4.282,275.0,1.633,-0.653
mp-462786,MoCa4NbTi2,Ceramic,tetragonal,30.482705697062574,239.84,92.37,4.63,1607.0,0.5,-1.9731
mp-569668,Ba2OsFLi2,Halide,triclinic,27.77753732838258,107.71,50.03,5.14,629.0,2.354,-4.2287
mp-550449,Ir3Ta2Ce2,Semiconductor,cubic,26.15124543433768,114.74,102.55,5.389,1825.0,1.591,-0.8098
mp-68620,In2Ne2,Boride,orthorhombic,27.21079623794347,184.97,100.8,8.783,1087.0,0.645,-1.2057
mp-850742,HfTi,Metal,tetragonal,22.551437084520774,165.52,64.47,13.501,864.0,0.0,-0.0396
