material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable,crystal_enc,category_enc,pughs_ratio,elastic_anisotropy,thermal_stability,electronic_density,vol_per_site,bulk_modulus_GPa_norm,shear_modulus_GPa_norm,formation_energy_per_atom_eV_norm,density_g_cm3_norm,melting_point_K_norm,band_gap_eV_norm,MQI
mp-121959,Ta3Au3H2,3,hexagonal,185,Chalcogenide,-0.6329,0.0175,1.94,0,26.87,13.47,0.2918,4.343,2,96.38,1142.0,1,1,4,1.9948032650372653,13.4,1804.392450554709,8.425419999999999,48.19,4.553277187843281,3.2046847203004547,26.66125000000001,20.213549337260677,25.68157033805889,16.166666666666664,15.18243286606365
mp-23248,Al3Rh4W3,3,hexagonal,171,Alloy,-1.2275,0.2124,0.0,1,50.3,33.94,0.2326,6.757,4,365.02,1244.0,0,1,0,1.4820271062221488,16.36,1013.4419469373365,0.0,91.255,8.842914683266203,8.262502470844039,34.09375,32.91079318325268,28.46237731733915,0.0,17.800269346748188
mp-526982,Pd3Te3,2,cubic,227,Metal,0.1265,0.0993,0.0,1,256.03,125.93,0.2849,10.501,4,642.24,1178.0,0,0,7,2.033113634397434,130.09999999999997,9312.252228280457,0.0,160.56,46.508604906627596,30.991796797786126,17.168750000000003,52.60361876709446,26.663031624863688,0.0,28.193646961321747
mp-984775,Ne4Cd4,2,tetragonal,81,Nitride,-0.4655,0.0534,1.83,0,461.87,233.17,0.2888,1.754,32,820.52,1130.0,0,4,8,1.9808294376643296,228.70000000000002,2427.497262567191,3.20982,25.64125,84.19443427316001,57.48912828622257,24.56875000000001,6.595834209972648,25.354416575790623,15.25,40.00070841924238
mp-965909,Al4Rh,2,cubic,202,Nitride,-0.6142,0.0501,1.264,0,187.79,148.0,0.19,3.36,2,87.85,306.0,0,0,8,1.268851351265618,39.78999999999999,498.20904431440823,4.24704,43.925,34.01501281581838,36.444949594781576,26.42750000000001,15.043130654323583,2.889858233369684,10.533333333333333,22.895284282557803
mp-55610,SbCu2Re2,3,trigonal,147,Ceramic,-3.2233,0.0202,2.669,0,89.35,42.88,0.2737,2.55,8,216.28,2136.0,1,6,3,2.0837220144394304,46.46999999999999,662.6748963401641,6.805949999999999,27.035,15.99231050897107,10.471437042893852,59.04125,10.782663580896275,52.78080697928026,22.241666666666667,29.432636915354653
mp-547578,Fe4Ba2ScC3,4,tetragonal,97,Silicate,-3.4612,0.0452,7.747,0,113.02,46.53,0.3288,4.042,6,281.56,1362.0,1,4,13,2.4289705561081085,66.49,393.5051415881627,31.313374,46.92666666666667,20.32588795313072,11.373295117612175,62.015,18.630338733431515,31.679389312977097,64.55833333333332,35.04152888443829
mp-720256,Y3Ge2,2,triclinic,1,Ceramic,-3.889,0.0229,1.27,0,291.31,132.2,0.3083,5.304,12,492.65,1930.0,1,5,3,2.2035552191979155,159.11,496.27153382290686,6.73608,41.05416666666667,52.96777737092639,32.541016011069374,67.3625,25.268251630549127,47.164667393675025,10.583333333333334,41.763283948505325
mp-755196,W3In,2,cubic,227,Carbide,-0.5275,0.0052,0.979,0,389.79,260.14,0.2393,4.562,8,647.31,2371.0,1,0,2,1.4983854846813875,129.65000000000003,4494.786644648594,4.466198,80.91375,70.99780300256316,64.15299466297687,25.34375,21.365453397853987,59.18756815703381,8.158333333333333,44.33734009644848
mp-665221,La3Sn4Cu2Nb3,4,tetragonal,79,Boride,0.1697,0.0334,0.784,0,290.24,163.27,0.2511,3.994,8,578.27,200.0,1,4,1,1.7776688919104753,126.97,1178.5503135798285,3.1312960000000003,72.28375,52.77187843280849,40.217928444356595,16.628749999999997,18.377866610561753,0.0,6.533333333333334,24.74149803648919
mp-211792,Y3Sb3,2,monoclinic,13,Halide,-3.3535,0.0078,2.611,0,15.74,7.31,0.2922,1.155,2,20.23,877.0,1,2,5,2.1532147713362315,8.43,261.51781642606886,3.0157050000000005,10.115,2.5155620651775905,1.6826447914607627,60.668749999999996,3.4451925099936878,18.45692475463468,21.758333333333336,19.35019933552224
mp-572204,Bi4Pb2,2,cubic,199,Oxide,-4.1159,0.0174,0.5,0,66.07,33.98,0.2829,3.144,4,105.21,2167.0,1,0,9,1.944379045925727,32.089999999999996,526.4948115199718,1.572,26.3025,11.730135481508603,8.272385847005335,70.19874999999999,13.907006101409635,53.62595419847328,4.166666666666666,28.09984800561474
mp-509931,In3Pd3Nb,3,cubic,227,Semiconductor,-1.3977,0.0947,1.544,0,89.68,64.02,0.1882,2.47,12,352.86,2053.0,0,0,12,1.4008122459542627,25.66000000000001,1468.8416579463287,3.81368,29.405,16.05272793848407,15.694801344139156,36.221250000000005,10.361876709446666,50.517993456924756,12.866666666666667,24.137642546008024
mp-656283,NAg2Li3,3,orthorhombic,55,Phosphide,-1.3019,0.0749,0.257,0,96.75,52.74,0.2566,1.801,4,71.54,1899.0,0,3,11,1.8344709894132591,44.01,1458.6373649386485,0.462857,17.885,17.347125595020138,12.907689266653488,35.02374999999999,6.843046496949294,46.319520174482,2.1416666666666666,21.009195648201953
mp-57546,B3Ne3V4,3,cubic,223,Metal,-1.4629,0.0175,0.0,1,195.3,103.35,0.2838,11.778,4,928.75,200.0,1,0,7,1.8896952102670834,91.95000000000002,136.71474375066822,0.0,232.1875,35.389967045038446,25.412630954734134,37.03625,59.320429202608885,0.0,0.0,25.499812520215407
mp-686841,Nb4OsSr2,3,cubic,208,Carbide,-0.6808,0.094,0.191,0,409.66,160.48,0.317,2.889,24,1029.59,2089.0,0,0,2,2.552716849292578,249.18000000000004,3068.448838595052,0.5517989999999999,42.89958333333333,74.63566459172463,39.528562957106146,27.25999999999999,12.565747948663999,51.49945474372956,1.5916666666666666,37.505088516192
mp-518272,Ag,1,orthorhombic,55,Ceramic,-2.5525,0.0019,6.769,0,140.63,61.11,0.3179,5.433,6,383.88,1415.0,1,3,3,2.3012600225329307,79.52,554.3584699143644,36.775977,63.98,25.380812889051622,14.975785728404823,50.65625,25.94677046076162,33.12431842966194,56.40833333333334,34.227144534016745
mp-319279,Al,1,orthorhombic,48,Alloy,0.0,0.4946,0.0,1,177.24,137.37,0.199,9.997,12,1879.76,1528.0,0,3,0,1.290238043146958,39.870000000000005,152800000000.0,0.0,156.64666666666668,32.083485902599776,33.81844237991698,18.75,49.95266147696192,36.205016357688116,0.0,27.356404257852763
mp-324061,Ti,1,tetragonal,94,Perovskite,-4.0201,0.0051,0.44,0,33.06,13.54,0.3278,5.015,4,382.62,1012.0,1,4,10,2.44165435565609,19.520000000000003,251.73503084068795,2.2066,95.655,5.686561699011351,3.2219806285827235,69.00125,23.748159057437405,22.137404580152673,3.6666666666666665,21.827385058285454
mp-34702,Ga3CoSi2,3,hexagonal,190,Metal,-0.0497,0.0172,0.0,1,107.49,47.92,0.3183,8.701,4,355.53,1351.0,1,1,7,2.243113522069467,59.56999999999999,27183.09312211406,0.0,88.8825,19.313438300988647,11.716742439217235,19.37124999999999,43.135914159478226,31.37949836423119,0.0,19.100802318623675
mp-128233,BZrMo3,3,tetragonal,103,Nitride,0.0975,0.0405,2.966,0,262.21,186.5,0.2112,7.083,8,644.87,1649.0,1,4,8,1.4059517425519594,75.70999999999998,16912.818778172434,21.008178,80.60875,47.64005858659831,45.95769915002965,17.53125,34.625499684409846,39.50381679389313,24.71666666666667,35.32142403485055
mp-937487,SeZrBi4,3,trigonal,157,Ceramic,-1.3959,0.0345,7.193,0,164.53,84.99,0.2816,1.437,2,32.07,1699.0,1,6,3,1.9358748085732589,79.54,1217.135889267599,10.336341,16.035,29.75649945075064,20.87616129669895,36.198750000000004,4.928466231853566,40.86695747001091,59.94166666666666,32.980422393176916
mp-678759,Mn3Au4,2,cubic,229,Oxide,-4.8136,0.0198,4.075,0,156.44,71.41,0.3011,5.254,16,1202.52,2637.0,1,0,9,2.190729589386539,85.03,547.8228341619104,21.41005,75.1575,28.275357012083486,17.52075508993872,78.92,25.005259835893117,66.43947655398037,33.958333333333336,42.503419887090814
mp-885692,Bi3,1,cubic,204,Metal,0.0,0.0229,0.0,1,144.61,112.43,0.203,5.772,6,503.91,2400.0,1,0,7,1.2862225383539783,32.18000000000001,240000000000.0,0.0,83.985,26.109483705602344,27.656157343348486,18.75,27.729854828529348,59.97818974918212,0.0,26.27284215502042
mp-213568,S2Nb,2,monoclinic,12,Semiconductor,-0.653,0.088,1.633,0,63.92,30.99,0.2967,4.282,16,1016.08,275.0,0,2,12,2.0626008383147467,32.93000000000001,421.1332247912216,6.992506,63.505,11.33650677407543,7.533603478948408,26.91250000000001,19.892699347780347,2.044711014176663,13.608333333333334,13.493748637509304
mp-462786,MoCa4NbTi2,4,tetragonal,118,Ceramic,-1.9731,0.1816,0.5,0,239.84,92.37,0.3388,4.63,6,460.96,1607.0,0,4,3,2.596514019422268,147.47,814.454407711447,2.315,76.82666666666667,43.54448919809593,22.699644198458195,43.41375000000001,21.723122238586154,38.3587786259542,4.166666666666666,30.482705697062574
mp-569668,Ba2OsFLi2,4,triclinic,2,Halide,-4.2287,0.0032,2.354,0,107.71,50.03,0.3075,5.14,12,693.79,629.0,1,5,5,2.1529082546166483,57.67999999999999,148.7454769817072,12.09956,57.81583333333333,19.353716587330645,12.238090531725637,71.60875,24.405638544077423,11.695747001090513,19.616666666666667,27.77753732838258
mp-550449,Ir3Ta2Ce2,3,cubic,196,Semiconductor,-0.8098,0.0421,1.591,0,114.74,102.55,0.1722,5.389,4,239.26,1825.0,1,0,12,1.1188688443570094,12.189999999999998,2253.6428469542743,8.573899,59.815,20.640790919077258,25.214963431508203,28.872500000000002,25.71533768146434,44.3020719738277,13.258333333333333,26.15124543433768
mp-68620,In2Ne2,2,orthorhombic,18,Boride,-1.2057,0.0819,0.645,0,184.97,100.8,0.2588,8.783,32,3539.13,1087.0,0,3,1,1.8350198410877958,84.17,901.550958766269,5.665035,110.5978125,33.49871841816184,24.78256572445147,33.821250000000006,43.567220702714074,24.182115594329336,5.375,27.21079623794347
mp-850742,HfTi,2,tetragonal,126,Metal,-0.0396,0.0596,0.0,1,165.52,64.47,0.3326,13.501,6,652.02,864.0,0,4,7,2.56739568751863,101.05000000000001,21818.176308541333,0.0,108.67,29.937751739289638,15.805989325953746,19.245000000000005,68.38312644645487,18.102508178844058,0.0,22.551437084520774
mp-497661,Si4AsPt3,3,monoclinic,9,Halide,-3.2898,0.0002,6.15,0,52.89,11.31,0.4008,3.269,2,52.04,1292.0,1,2,5,4.676392568809555,41.58,392.72904008532726,20.104350000000004,26.02,9.317099963383376,2.670982407590433,59.8725,14.564485588049653,29.770992366412212,51.25000000000001,27.981713887961558
mp-403083,WTa4BaH3,4,orthorhombic,45,Phosphide,-1.5773,0.0156,2.256,0,47.45,15.38,0.3528,5.777,12,899.77,1567.0,1,3,11,3.0851755506598337,32.07,993.4698472486538,13.032912,74.98083333333334,8.321127792017576,3.676615932002372,38.46625,27.756154007994947,37.26826608505998,18.799999999999997,21.278654058362484
mp-567830,W4Fe3,2,orthorhombic,46,Oxide,-3.1636,0.0238,2.957,0,33.41,14.31,0.3153,1.952,6,181.51,2929.0,1,3,9,2.334730955740928,19.099999999999994,925.843972291554,5.772063999999999,30.251666666666665,5.750640790919076,3.4122356196876855,58.295,7.637281716810435,74.40021810250818,24.641666666666666,29.111586169178622
mp-932884,V3O,2,tetragonal,125,Silicate,-3.8876,0.0017,3.835,0,16.21,6.83,0.3108,1.66,4,79.14,200.0,1,4,13,2.3733528515763505,9.38,51.445621845237106,6.366099999999999,19.785,2.6016111314536796,1.5640442775252026,67.345,6.101409636019356,0.0,31.958333333333332,19.706022045397713
mp-356993,LiIr3Mo3,3,cubic,218,Semiconductor,0.6178,0.0206,1.746,0,74.74,48.68,0.2306,4.94,32,2376.92,2157.0,1,0,12,1.5353327852228156,26.059999999999995,3491.4211153865144,8.62524,74.27875,13.317466129622845,11.904526586281873,11.027500000000003,23.353671365453398,53.35332606324973,14.549999999999999,19.770764589213744
mp-842151,Sr3HfPt3,3,cubic,206,Halide,-5.941,0.0152,7.298,0,53.27,13.02,0.3924,3.105,24,1002.72,1841.0,1,0,5,4.091397846319971,40.25,309.880490978151,22.66029,41.78,9.386671548883193,3.0934967384858663,93.0125,13.701872501577949,44.73827699018539,60.81666666666666,38.301962456159416
mp-208140,Se4Os,2,cubic,220,Metal,-1.4771,0.0842,0.0,1,106.08,59.96,0.2554,0.5,12,94.39,589.0,0,0,7,1.7691794526735858,46.12,398.75431318966685,0.0,7.865833333333334,19.05529110216038,14.691638663767542,37.213750000000005,0.0,10.605234460196291,0.0,15.782921122215027
